referendum_index,origin,address,amount,conviction,votes,status,voting_time,delegate
355,referendum_canceller,EeFYYF8zrLXRpfFXLn2T5bMmgiFpDpmAhVzoh9hA3188wTc,20000000000000,6,120000000000000,Nays,1709821050,CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3
355,referendum_canceller,DrRBkx2Qx4sXRGZDXz6d44QCXqV2eJhn8Rq79V88FpSqAr8,20000000000000,6,120000000000000,Nays,1709821050,CgatoWx7Zu4yfaREFsuet3RzBcrRkYXA6sevo1VgjnLB8c3
355,referendum_canceller,Ht6FbjRKCZ4HW2dNd9w2AtYsed2cHDQTPWXdE2Qm1FQMU4e,120000000000000,1,120000000000000,Nays,1709816544,HqRcfhH8VXMhuCk5JXe28WMgDDuW9MVDVNofe1nnTcefVZn
355,referendum_canceller,EQF693vsen6WxMdoYgf2cypvH4saFJWFzDupoFUT79MffeW,58064000000000,2,116128000000000,Nays,1709908926,
355,referendum_canceller,FZyFBAqs93TenupzDHJzW1pxFLxwwo1EJLvT89jhrV368yb,102645100000000,1,102645100000000,Nays,1709891892,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc
355,referendum_canceller,GkmDg8scrddPXTuahbnU76GdAjjfJL6ESq1Nzs9uHQnSkyR,102610000000000,1,102610000000000,Nays,1709891892,GA9psXCW91jbLCn6jySFovNyc7kFsZBtC21YoAT8vNsY2Hc
355,referendum_canceller,DMNWV5U4GHvc28LNbYzckpPqihSqSu6C4WnKQWgSXbZqwJy,101000000000000,1,101000000000000,Nays,1710706020,
355,referendum_canceller,DMNWV5U4GHvc28LNbYzckpPqihSqSu6C4WnKQWgSXbZqwJy,101000000000000,1,101000000000000,Nays,1710077106,
355,referendum_canceller,EtuN1h92gaV961S15PwxN6GHyeonaojALZ8Dddgn1oDPRFt,100000000000000,1,100000000000000,Nays,1710706200,
355,referendum_canceller,GPeAgenYP4rngtRtFufgCcn3oezWRRHgzCPJUSSqbNfxFkm,100000000000000,1,100000000000000,Nays,1710706044,
355,referendum_canceller,Dm4uKxZJZHJbpZpfnYPiHnbgyHWKMU1s5h6X7kqjfYv1Xkk,100000000000000,1,100000000000000,Nays,1710559008,
355,referendum_canceller,E5hWebLmPSFSUq3nSfGuFYopAK65fooqiXV91gQwuZGuMad,100000000000000,1,100000000000000,Nays,1710559002,
355,referendum_canceller,FAGfu2hTpj4q6FxPztU8ussvQqb4eeGw8ZsUdRzqmC6eJGL,50000000000000,2,100000000000000,Nays,1710477924,
355,referendum_canceller,EtuN1h92gaV961S15PwxN6GHyeonaojALZ8Dddgn1oDPRFt,100000000000000,1,100000000000000,Nays,1710077328,
355,referendum_canceller,GPeAgenYP4rngtRtFufgCcn3oezWRRHgzCPJUSSqbNfxFkm,100000000000000,1,100000000000000,Nays,1710077136,
355,referendum_canceller,CrbJuFZWjY3yft424EMTY9hdbWoU878DFs74v3a8nNDeKJD,100000000000000,1,100000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,CaVLqgMmajk7ySYjo4SPqauXwsZu8Y5tP9vVDvJvcecbp3n,50000000000000,2,100000000000000,Nays,1709908950,
355,referendum_canceller,FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,100000000000000,1,100000000000000,Nays,1709839272,
355,referendum_canceller,JJiV1xrj1814BVDDG2pFCsgzdbR7K29VcyXQGXEUhn7LWhK,96000000000000,1,96000000000000,Nays,1710666042,
355,referendum_canceller,DT7kRjGFvRKxGSx5CPUCA1pazj6gzJ6Db11xmkX4yYSNK7m,30000000000000,3,90000000000000,Nays,1709891922,GZDxU5H28YzTrtRk7WAyGrbbpdQCdHNRUG6VKJbxpfo81bu
355,referendum_canceller,EUpZJBP4ycthqtGQum4ZUTMCxissiage6ffBgDBorJY7XRn,88000000000000,1,88000000000000,Nays,1710197202,
355,referendum_canceller,HNg477iCuSSZMsWiaRbaRP1ZLRUBiWHZqSCEbnmL57UAaGv,21000000000000,4,84000000000000,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,FDL99LDYERjevxPnXBjNGHZv13FxCGHrqh2N5zWQXx1finf,80000000000000,1,80000000000000,Nays,1710611232,
355,referendum_canceller,D2eunSQh3Q3j6LY6cj3bFuWf6GjLD5ywgmWYpxWH94eLn5e,40000000000000,2,80000000000000,Nays,1710057648,EctdZvgkphLJMQmKntaPP74LKpGvDKaj1cbqC8fUT4HzqiC
355,referendum_canceller,DMarM298sHZ67b69upNpg8Caj7ngsvhELwH9T4TDNzxtgfi,18489915802558,4,73959663210232,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
355,referendum_canceller,EkntPBZ9cayLZZWW54B16RnKBMbM5RCFVuDWncfBX7RaeYN,12195862917913,6,73175177507478,Nays,1709948832,DCZyhphXsRLcW84G9WmWEXtAA8DKGtVGSFZLJYty8Ajjyfa
